	review_id	user_id	business_id	stars	date	text	useful	funny	cool	pos_rev
0	vkVSCC7xljjrAI4UGfnKEQ	bv2nCi5Qv5vroFiqKGopiw	AEx2SYEUJmTxVVB18LlCwA	5	2016-05-28	"Super simple place but amazing nonetheless. It's been around since the 30's and they still serve the same thing they started with: a bologna and salami sandwich with mustard. 

Staff was very helpful and friendly."	0	0	0	['super', 'simpl', 'place', 'amaz', 'nonetheless', 'around', 'sinc', 'still', 'serv', 'thing', 'start', 'bologna', 'salami', 'sandwich', 'mustard', 'staff', 'help', 'friendli']
1	n6QzIUObkYshz4dz2QRJTw	bv2nCi5Qv5vroFiqKGopiw	VR6GpWIda3SfvPC-lg9H3w	5	2016-05-28	"Small unassuming place that changes their menu every so often. Cool decor and vibe inside their 30 seat restaurant. Call for a reservation. 

We had their beef tartar and pork belly to start and a salmon dish and lamb meal for mains. Everything was incredible! I could go on at length about how all the listed ingredients really make their dishes amazing but honestly you just need to go. 

A bit outside of downtown montreal but take the metro out and it's less than a 10 minute walk from the station."	0	0	0	['small', 'unassum', 'place', 'chang', 'menu', 'everi', 'often', 'cool', 'decor', 'vibe', 'insid', 'seat', 'restaur', 'call', 'reserv', 'beef', 'tartar', 'pork', 'belli', 'start', 'salmon', 'dish', 'lamb', 'meal', 'main', 'everyth', 'incred', 'could', 'go', 'length', 'list', 'ingredi', 'realli', 'make', 'dish', 'amaz', 'honestli', 'need', 'go', 'bit', 'outsid', 'downtown', 'montreal', 'take', 'metro', 'less', 'minut', 'walk', 'station']
2	MV3CcKScW05u5LVfF6ok0g	bv2nCi5Qv5vroFiqKGopiw	CKC0-MOWMqoeWf6s-szl8g	5	2016-05-28	"Lester's is located in a beautiful neighborhood and has been there since 1951. They are known for smoked meat which most deli's have but their brisket sandwich is what I come to montreal for. They've got about 12 seats outside to go along with the inside. 

The smoked meat is up there in quality and taste with Schwartz's and you'll find less tourists at Lester's as well."	0	0	0	['lester', 'locat', 'beauti', 'neighborhood', 'sinc', 'known', 'smoke', 'meat', 'deli', 'brisket', 'sandwich', 'come', 'montreal', 'theyv', 'got', 'seat', 'outsid', 'go', 'along', 'insid', 'smoke', 'meat', 'qualiti', 'tast', 'schwartz', 'youll', 'find', 'less', 'tourist', 'lester', 'well']
3	IXvOzsEMYtiJI0CARmj77Q	bv2nCi5Qv5vroFiqKGopiw	ACFtxLv8pGrrxMm6EgjreA	4	2016-05-28	"Love coming here. Yes the place always needs the floor swept but when you give out  peanuts in the shell how won't it always be a bit dirty. 

The food speaks for itself, so good. Burgers are made to order and the meat is put on the grill when you order your sandwich. Getting the small burger just means 1 patty, the regular is a 2 patty burger which is twice the deliciousness. 

Getting the Cajun fries adds a bit of spice to them and whatever size you order they always throw more fries (a lot more fries) into the bag."	0	0	0	['love', 'come', 'ye', 'place', 'alway', 'need', 'floor', 'swept', 'give', 'peanut', 'shell', 'wont', 'alway', 'bit', 'dirti', 'food', 'speak', 'good', 'burger', 'made', 'order', 'meat', 'put', 'grill', 'order', 'sandwich', 'get', 'small', 'burger', 'mean', 'patti', 'regular', 'patti', 'burger', 'twice', 'delici', 'get', 'cajun', 'fri', 'add', 'bit', 'spice', 'whatev', 'size', 'order', 'alway', 'throw', 'fri', 'lot', 'fri', 'bag']
4	L_9BTb55X0GDtThi6GlZ6w	bv2nCi5Qv5vroFiqKGopiw	s2I_Ni76bjJNK9yG60iD-Q	4	2016-05-28	"Had their chocolate almond croissant and it was amazing! So light and buttery and oh my how chocolaty.

If you're looking for a light breakfast then head out here. Perfect spot for a coffee\/latté before heading out to the old port"	0	0	0	['chocol', 'almond', 'croissant', 'amaz', 'light', 'butteri', 'oh', 'chocolatyif', 'your', 'look', 'light', 'breakfast', 'head', 'perfect', 'spot', 'coffeelatt', 'head', 'old', 'port']
5	HRPm3vEZ_F-33TYVT7Pebw	_4iMDXbXZ1p1ONG297YEAQ	8QWPlVQ6D-OExqXoaD2Z1g	5	2014-09-24	Cycle Pub Las Vegas was a blast! Got a groupon and rented the bike for 11 of us for an afternoon tour. Each bar was more fun than the last. Downtown Las Vegas has changed so much and for the better. We had a wide age range in this group from early 20's to mid 50's and everyone had so much fun! Our driver Tony was knowledgable , friendly and just plain fun! Would recommend this to anyone looking to do something different away from the strip. You won't be disappointed!	1	0	0	['cycl', 'pub', 'la', 'vega', 'blast', 'got', 'groupon', 'rent', 'bike', 'us', 'afternoon', 'tour', 'bar', 'fun', 'last', 'downtown', 'la', 'vega', 'chang', 'much', 'better', 'wide', 'age', 'rang', 'group', 'earli', 'mid', 'everyon', 'much', 'fun', 'driver', 'toni', 'knowledg', 'friendli', 'plain', 'fun', 'would', 'recommend', 'anyon', 'look', 'someth', 'differ', 'away', 'strip', 'wont', 'disappoint']
6	ymAUG8DZfQcFTBSOiaNN4w	u0LXt3Uea_GidxRW1xcsfg	9_CGhHMz8698M9-PkVf0CQ	4	2012-05-11	"Who would have guess that you would be able to get fairly decent Vietnamese restaurant in East York? 

Not quite the same as Chinatown in terms of pricing (slightly higher) but definitely one of the better Vietnamese restaurants outside of the neighbourhood. When I don't have time to go to Chinatown, this is the next best thing as it is down the street from me.

So far the only items I have tried are the phos (beef, chicken & vegetarian) - and they have not disappointed me! Especially the chicken pho.

Next time I go back, I'm going to try the banh cuon (steamed rice noodle) and the vermicelli!"	0	0	2	['would', 'guess', 'would', 'abl', 'get', 'fairli', 'decent', 'vietnames', 'restaur', 'east', 'york', 'quit', 'chinatown', 'term', 'price', 'slightli', 'higher', 'definit', 'one', 'better', 'vietnames', 'restaur', 'outsid', 'neighbourhood', 'dont', 'time', 'go', 'chinatown', 'next', 'best', 'thing', 'street', 'meso', 'far', 'item', 'tri', 'pho', 'beef', 'chicken', 'vegetarian', 'disappoint', 'especi', 'chicken', 'phonext', 'time', 'go', 'back', 'im', 'go', 'tri', 'banh', 'cuon', 'steam', 'rice', 'noodl', 'vermicelli']
7	8UIishPUD92hXtScSga_gw	u0LXt3Uea_GidxRW1xcsfg	gkCorLgPyQLsptTHalL61g	4	2015-10-27	"Always drove past this coffee house and wondered about it. BF and I finally made the stop to try this place out.

Cute, quaint coffee shop with nice muskoka chairs outside. 

BF ordered an ice coffee and really enjoyed it! Guess we will be back again!"	1	0	0	['alway', 'drove', 'past', 'coffe', 'hous', 'wonder', 'bf', 'final', 'made', 'stop', 'tri', 'place', 'outcut', 'quaint', 'coffe', 'shop', 'nice', 'muskoka', 'chair', 'outsid', 'bf', 'order', 'ice', 'coffe', 'realli', 'enjoy', 'guess', 'back']
8	w41ZS9shepfO3uEyhXEWuQ	u0LXt3Uea_GidxRW1xcsfg	5r6-G9C4YLbC7Ziz57l3rQ	3	2013-02-09	"Not bad!! Love that there is a gluten-free, vegan version of the cheese curds and gravy!!

Haven't done the poutine taste test yet with smoke's but Im excited to see which is better. However poutini's might win as they are vegan and gluten-free"	1	0	0	['bad', 'love', 'glutenfre', 'vegan', 'version', 'chees', 'curd', 'gravyhav', 'done', 'poutin', 'tast', 'test', 'yet', 'smoke', 'im', 'excit', 'see', 'better', 'howev', 'poutini', 'might', 'win', 'vegan', 'glutenfre']
9	WF_QTN3p-thD74hqpp2j-Q	u0LXt3Uea_GidxRW1xcsfg	fDF_o2JPU8BR1Gya--jRIA	5	2016-04-06	"Love this place!

Peggy is great with dogs and does a great job! She is very patience with him and will make any adjustments you need before you leave the store. My little guy has no problems coming here.

They also have very good bully sticks (the non-smelly ones) that my little guy and his friends love!"	3	0	0	['love', 'placepeggi', 'great', 'dog', 'great', 'job', 'patienc', 'make', 'adjust', 'need', 'leav', 'store', 'littl', 'guy', 'problem', 'come', 'herethey', 'also', 'good', 'bulli', 'stick', 'nonsmelli', 'one', 'littl', 'guy', 'friend', 'love']
10	PIsUSmvaUWB00qv5KTF1xA	u0LXt3Uea_GidxRW1xcsfg	z8oIoCT1cXz7gZP5GeU5OA	4	2013-05-01	"This is currently my parents new favourite restaurant. 

We come here in the morning for dim sum. They are not the cart pushing type of dim sum, it is order off of the sheet. Dim sum is not bad and not expensive either.

We also frequent the dinner scene. Their set dinner menu is not bad. We typically order a 6 dish menu and it's big enough to feed a family of 9 with leftovers. 

Overall, food is pretty tasty!"	1	0	0	['current', 'parent', 'new', 'favourit', 'restaur', 'come', 'morn', 'dim', 'sum', 'cart', 'push', 'type', 'dim', 'sum', 'order', 'sheet', 'dim', 'sum', 'bad', 'expens', 'eitherw', 'also', 'frequent', 'dinner', 'scene', 'set', 'dinner', 'menu', 'bad', 'typic', 'order', 'dish', 'menu', 'big', 'enough', 'feed', 'famili', 'leftov', 'overal', 'food', 'pretti', 'tasti']
11	PdZ_uFjbbkjtm3SCY_KrZw	u0LXt3Uea_GidxRW1xcsfg	XWTPNfskXoUL-Lf32wSk0Q	3	2011-09-28	"Server was a little rude.

Ordered the calamari, duck confit poutine and the trout fish with miso soba - all very tasty. Definitely not your typical diner."	5	0	1	['server', 'littl', 'rudeord', 'calamari', 'duck', 'confit', 'poutin', 'trout', 'fish', 'miso', 'soba', 'tasti', 'definit', 'typic', 'diner']
12	x5oV6wm9_Pb1QQ6jkjDjwQ	u0LXt3Uea_GidxRW1xcsfg	13nKUHH-uEUXVZylgxchPA	1	2011-02-16	"I thought Tidy's Flowers had a great reputation as a florist, but I guess I was wrong!

For Valentine's Day my boyfriend had ordered roses with Tidy's. However, the flowers that were delivered was not what he had ordered. He had placed in an order for long stem roses, mixed with orchids and was charged for that. What had showed up was a small vase with 4 short cut roses and some greens - table ornament, not really Valentine's Day flowers. 

In speaking with another friend, something similar happened to her - her fiancee had ordered a dozen of roses for her for Valentine's Day while he was in Germany as a surprise and they never showed up. So when he called them to complaint, they actually then called up my friend to confirm whether or not she had received the flowers. Which she didn't, so they said they would resend - only to have them deliver it to the wrong place.

Understanding that Valentine's Day is the most busiest day for florists and mistakes do happen, the way they had handled it was not what would have been expected from a florist of that nature."	9	0	1	['thought', 'tidi', 'flower', 'great', 'reput', 'florist', 'guess', 'wrongfor', 'valentin', 'day', 'boyfriend', 'order', 'rose', 'tidi', 'howev', 'flower', 'deliv', 'order', 'place', 'order', 'long', 'stem', 'rose', 'mix', 'orchid', 'charg', 'show', 'small', 'vase', 'short', 'cut', 'rose', 'green', 'tabl', 'ornament', 'realli', 'valentin', 'day', 'flower', 'speak', 'anoth', 'friend', 'someth', 'similar', 'happen', 'fiance', 'order', 'dozen', 'rose', 'valentin', 'day', 'germani', 'surpris', 'never', 'show', 'call', 'complaint', 'actual', 'call', 'friend', 'confirm', 'whether', 'receiv', 'flower', 'didnt', 'said', 'would', 'resend', 'deliv', 'wrong', 'placeunderstand', 'valentin', 'day', 'busiest', 'day', 'florist', 'mistak', 'happen', 'way', 'handl', 'would', 'expect', 'florist', 'natur']
13	lsoSqIrrDbQvWpMvsSj2xw	u0LXt3Uea_GidxRW1xcsfg	RtUvSWO_UZ8V3Wpj0n077w	3	2012-12-03	"Wanted to check out this place due to all the hype I had heard. My friend wanted to come here for her birthday. We had a group of seven and based on the way the seating works (as it is communal), we wind up sharing with another group of five. 

Food was ok - not sure what the hype was. Almost 75% of the dishes had some sort of cheese in it.

This place is very loud so not ideal for catching up\/talking. Not a great place to go if you have any gluten or vegan restrictions.

Interesting concept. Would definitely recommend to try this place once - but definitely not worth the 30- 45 mins wait."	2	1	1	['want', 'check', 'place', 'due', 'hype', 'heard', 'friend', 'want', 'come', 'birthday', 'group', 'seven', 'base', 'way', 'seat', 'work', 'commun', 'wind', 'share', 'anoth', 'group', 'five', 'food', 'ok', 'sure', 'hype', 'almost', 'dish', 'sort', 'chees', 'itthi', 'place', 'loud', 'ideal', 'catch', 'uptalk', 'great', 'place', 'go', 'gluten', 'vegan', 'restrictionsinterest', 'concept', 'would', 'definit', 'recommend', 'tri', 'place', 'definit', 'worth', 'min', 'wait']
14	23eqwlZzCWZkADWfd9atZw	u0LXt3Uea_GidxRW1xcsfg	Aov96CM4FZAXeZvKtsStdA	5	2010-07-16	"This place is awesome! Definitely authentic!!!

My two favourite dishes are the rice flour rolls and the chicken pho. The rice flour rolls are always fresh whenever I'm there! And the chicken pho is always flavourful!! mmmm....just thinking of it makes me want some!

My boyfriend is Vietnamese and he agrees that this place is authentic and one of the best Vietnamese restaurants he has ever eaten at.

Prices are very reasonable too!"	2	0	1	['place', 'awesom', 'definit', 'authenticmi', 'two', 'favourit', 'dish', 'rice', 'flour', 'roll', 'chicken', 'pho', 'rice', 'flour', 'roll', 'alway', 'fresh', 'whenev', 'im', 'chicken', 'pho', 'alway', 'flavour', 'mmmmjust', 'think', 'make', 'want', 'somemi', 'boyfriend', 'vietnames', 'agre', 'place', 'authent', 'one', 'best', 'vietnames', 'restaur', 'ever', 'eaten', 'atpric', 'reason']
15	FunI9om-aK5oMIIJmhMlZA	u0LXt3Uea_GidxRW1xcsfg	0W4lkclzZThpx3V65bVgig	4	2011-09-28	"a must stop when you are in montreal!

I was in Mtl for the weekend and wind up eating here 2 nights in a row!

The sandwiches here are unbelieveable! The smoked meat is so tasty and salty but so good. The bread definitely complements the meat!

Not much of a line up if you come either later in the evening.

Remember to leave a tip in the plate when you order take out and the servers will be extra nice and funny!"	0	0	0	['must', 'stop', 'montreali', 'mtl', 'weekend', 'wind', 'eat', 'night', 'rowth', 'sandwich', 'unbeliev', 'smoke', 'meat', 'tasti', 'salti', 'good', 'bread', 'definit', 'complement', 'meatnot', 'much', 'line', 'come', 'either', 'later', 'eveningrememb', 'leav', 'tip', 'plate', 'order', 'take', 'server', 'extra', 'nice', 'funni']
16	FKu4iU62EmWT6GZXPJ2sgA	u0LXt3Uea_GidxRW1xcsfg	fdnNZMk1NP7ZhL-YMidMpw	1	2012-10-23	"I too have been trying to book an appt to use my voucher - it's been months and countless of phone calls - no response yet.

Agree with the buyers beware warning. I only wish reviews on this place was posted previous to my purchase of this voucher."	0	0	0	['tri', 'book', 'appt', 'use', 'voucher', 'month', 'countless', 'phone', 'call', 'respons', 'yetagre', 'buyer', 'bewar', 'warn', 'wish', 'review', 'place', 'post', 'previou', 'purchas', 'voucher']
17	xdu8nXrbNKeaywCX79KZSw	u0LXt3Uea_GidxRW1xcsfg	PFPUMF38-lraKzLcTiz5gQ	3	2010-09-15	"Came here with my girlfriends one Sunday afternoon. This place will take a long time to serve your food - as it took them almost an hour to give us our food. So make sure you give yourself lots of time! It is definitely a lazy brunch place!

Definitely recommend the pancakes! Beware of the portion sizes - they are huge!"	2	0	0	['came', 'girlfriend', 'one', 'sunday', 'afternoon', 'place', 'take', 'long', 'time', 'serv', 'food', 'took', 'almost', 'hour', 'give', 'us', 'food', 'make', 'sure', 'give', 'lot', 'time', 'definit', 'lazi', 'brunch', 'placedefinit', 'recommend', 'pancak', 'bewar', 'portion', 'size', 'huge']
